ts,type,ch,tx_rx,data,fcs,port,sim
25.502021,ETH,1,Rx,46:A81374BD389D02000000100108004500003857DA000040064D32A9FE1301A9FE6EB63458FF260000592A7EA92694501840004FBA000002FD8001000000081A010E8062DD0A02,FCS:3f925966,Ports:Port5,Sim:0
25.502167,ETH,1,Rx,3c:020000001001A81374BD389D080045000028084B400080061CD1A9FE6EB6A9FE1301FF2634587EA926940000593A5010201388160000000000000000,FCS:170325b4,Ports:Port6,Sim:0
25.52184,ETH,1,Rx,45:020000001001A81374BD389D080045000037084C400080061CC1A9FE6EB6A9FE1301FF2634587EA926940000593A50182013C3FA000002FD8001000000070E8016352249FA,FCS:f1ee4e3f,Ports:Port6,Sim:0
25.522014,ETH,1,Rx,3c:A81374BD389D02000000100108004500002857DB000040064D41A9FE1301A9FE6EB63458FF260000593A7EA926A350103FF168290000000000000000,FCS:1b6d3e71,Ports:Port5,Sim:0
25.523972,ETH,1,Rx,43:A81374BD389D02000000100108004500003557DC000040064D33A9FE1301A9FE6EB63458FF260000593A7EA926A350184000C04B000002FD80020000000516350E8000,FCS:10234022,Ports:Port5,Sim:0
25.541512,ETH,1,Rx,44:020000001001A81374BD389D080045000036084D400080061CC1A9FE6EB6A9FE1301FF2634587EA926A3000059475018201397E0000002FD8001000000060E801FFF3E80,FCS:24503cca,Ports:Port6,Sim:0
25.541714,ETH,1,Rx,3c:A81374BD389D02000000100108004500002857DD000040064D3FA9FE1301A9FE6EB63458FF26000059477EA926B150103FF2680D0000000000000000,FCS:d175fdcb,Ports:Port5,Sim:0
25.543247,ETH,1,Rx,43:A81374BD389D02000000100108004500003557DE000040064D31A9FE1301A9FE6EB63458FF26000059477EA926B150184000B666000002FD8002000000051FFF0E8000,FCS:c50da895,Ports:Port5,Sim:0
25.552021,ETH,1,Rx,46:A81374BD389D02000000100108004500003857E2000040064D2AA9FE1301A9FE6EB63458FF26000059547EA926B15018400063D4000002FD80010000000816350E806249FA00,FCS:9cae12d,Ports:Port5,Sim:0
25.552174,ETH,1,Rx,3c:020000001001A81374BD389D080045000028084E400080061CCEA9FE6EB6A9FE1301FF2634587EA926B1000059645010201387CF0000000000000000,FCS:5d15d8e0,Ports:Port6,Sim:0
26.219044,ETH,1,Rx,3c:FFFFFFFFFFFFA81374BD389D080045000024B1EF000080117025A9FE6EB6FFFFFFFFF68B34580010B93702FD00010000000000000000000000000000,FCS:fe7a2614,Ports:Port6,Sim:0
26.980894,ETH,1,Rx,158:FFFFFFFFFFFFA81374BD389D08004500014A4F3400008011EA6F00000000FFFFFFFF0044004301366FC2010106004A690E8B1D00000000000000000000000000000000000000A81374BD389D00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501013D0701A81374BD389D32040AE39F280C0F4445534B544F502D4B524E4E5330373C084D53465420352E30370E0103060F1F212B2C2E2F7779F9FCFF,FCS:4f17d7ac,Ports:Port6,Sim:0
27.536303,ETH,1,Rx,45:020000001001A81374BD389D080045000037084F400080061CBEA9FE6EB6A9FE1301FF2634587EA926B10000596450182013B754000002FD8001000000070E801A0122DD02,FCS:97cab4fc,Ports:Port6,Sim:0
